date,site,nh4_n,no3_n,tp,doc,tdn
4/25/2019,balas,0.044,1.054,0.05,1.933,0.888
1/2/2020,balas,0.012,1.08,0.05,2.488,1.231
4/25/2019,balas,0.043,1.041,0.049,1.655,0.932
1/2/2020,balas,0.013,1.104,0.049,3.845,1.259
9/19/2019,balas,0.072,2.209,0.047,2.093,2.166
12/19/2019,balas,0.029,1.39,0.047,0.908,1.301
12/19/2019,balas,0.032,1.237,0.045,0.658,1.117
9/26/2019,balas,0.062,1.494,0.043,1.974,1.496
10/3/2019,balas,0.025,0.713,0.042,2.267,1.289
9/19/2019,balas,0.058,2.119,0.04,1.807,2.192
8/8/2019,balas,0.054,1.869,0.038,1.446,1.682
1/23/2020,balas,0.158,2.44,0.038,1.578,1.129
2/13/2020,balas,0.062,1.116,0.034,1.013,1.081
10/3/2019,balas,0.017,0.647,0.031,3.595,1.578
9/26/2019,balas,0.075,1.496,0.03,2.291,1.572
8/8/2019,balas,0.05,1.9,0.029,0.766,1.653
5/9/2019,balas,0.071,0.73,0.027,3.1065,1.044
1/30/2020,balas,0.113,0.75,0.025,1.267,0.924
1/30/2020,balas,0.183,0.908,0.024,1.267,0.943
10/24/2019,balas,0.101,1.46,0.021,0.672,1.381
2/13/2020,balas,0.046,0.957,0.021,1.607,0.949
10/10/2019,balas,0.027,0.841,0.02,1.645,1.754
5/16/2019,balas,0.043,0.889,0.019,3.2562,1.108
4/11/2019,balas,0.085,1.115,0.017,2.238,0.962
10/17/2019,balas,0.089,0.493,0.017,1.524,1.502
12/26/2019,balas,0.019,1.119,0.017,2.854,1.098
1/9/2020,balas,0.018,1.121,0.016,1.032,1.086
4/11/2019,balas,0.078,1.102,0.015,2.738,1.074
12/26/2019,balas,0.029,1.301,0.014,1.617,1.235
7/11/2019,balas,0.043,1.531,0.013,1.799,1.35
9/12/2019,balas,0.115,0.953,0.013,1.713,1.047
10/10/2019,balas,0.029,0.856,0.013,1.328,1.662
10/24/2019,balas,0.067,1.415,0.013,0.235,1.301
11/14/2019,balas,0.102,1.391,0.013,3.421,1.408
9/5/2019,balas,0.059,1.285,0.012,1.767,1.354
9/12/2019,balas,0.068,1.413,0.012,2.267,1.435
10/17/2019,balas,0.027,0.696,0.012,2.699,1.554
12/12/2019,balas,0.03,1.414,0.012,2.982,1.362
1/9/2020,balas,0.02,1.248,0.012,1.805,1.298
7/11/2019,balas,0.078,1.186,0.011,1.61,1.223
11/14/2019,balas,0.032,1.38,0.011,2.899,1.385
11/21/2019,balas,0.032,1.588,0.011,3.112,1.616
11/21/2019,balas,0.017,1.324,0.011,2.937,1.387
5/9/2019,balas,0.073,0.687,0.01,3.6047,0.881
5/16/2019,balas,0.044,0.861,0.01,1.1762,1.025
8/29/2019,balas,0.014,0.762,0.01,1.769,1.428
8/29/2019,balas,0.021,0.752,0.01,1.781,1.527
6/20/2019,balas,0.036,0.141,0.009,0.519,0.115
10/31/2019,balas,0.069,1.341,0.009,1.389,1.309
11/28/2019,balas,0.025,1.46,0.009,1.933,1.466
5/2/2019,balas,0.053,1.194,0.008,2.574,0.841
5/30/2019,balas,0.039,0.902,0.008,2.717,0.921
9/5/2019,balas,0.058,1.311,0.008,2.053,1.333
2/27/2020,balas,0.061,0.531,0.008,0.411,0.921
4/4/2019,balas,0.08,1.074,0.007,2.337,0.919
5/23/2019,balas,0.058,0.902,0.007,2.7384,0.315
10/31/2019,balas,0.083,1.321,0.007,0.846,1.265
12/5/2019,balas,0.028,1.129,0.007,0.948,1.047
4/4/2019,balas,0.043,0.893,0.006,2.337,0.786
5/30/2019,balas,0.041,0.901,0.006,2.647,1.019
6/6/2019,balas,0.091,1.132,0.006,3.175,1.2
6/13/2019,balas,0.078,0.978,0.006,1.416,0.906
6/27/2019,balas,0.02,1.399,0.006,1.612,1.17
7/4/2019,balas,0.083,1.453,0.006,3.904,1.085
11/28/2019,balas,0.032,1.46,0.006,2.445,1.466
12/5/2019,balas,0.022,1.192,0.006,1.522,1.251
12/12/2019,balas,0.021,1.39,0.006,1.067,1.39
2/6/2020,balas,0.042,0.831,0.006,0.977,0.84
2/27/2020,balas,0.069,0.878,0.006,0.714,0.921
5/2/2019,balas,0.071,0.962,0.005,3.0206,0.841
5/23/2019,balas,0.039,0.902,0.005,2.3433,0.932
6/6/2019,balas,0.041,1.142,0.005,2.956,1.22
6/27/2019,balas,0.044,1.458,0.005,1.06,1.233
7/4/2019,balas,0.041,1.283,0.005,0.832,1.085
1/23/2020,balas,0.103,2.44,0.005,1.304,1.129
2/6/2020,balas,0.14,1.101,0.005,0.942,1.163
3/12/2020,balas,0.105,0.956,0.005,0.972,1.08
3/12/2020,balas,0.124,0.989,0.005,0.504,1.072
6/13/2019,balas,0.043,1.23,0.004,1.92,1.232
6/20/2019,balas,0.027,1.759,0.004,1.149,1.373
8/1/2019,balas,0.044,1.588,0.004,1.476,1.373
11/7/2019,balas,0.108,1.447,0.004,1.235,1.191
1/16/2020,balas,0.089,1.047,0.004,0.818,1.105
2/20/2020,balas,0.064,1.13,0.004,0.978,1.107
7/25/2019,balas,0.048,1.985,0.003,1.224,1.655
7/25/2019,balas,0.075,1.712,0.003,1.224,1.714
8/1/2019,balas,0.069,1.762,0.003,1.439,1.612
11/7/2019,balas,0.144,1.518,0.003,0.942,1.304
1/16/2020,balas,0.106,0.844,0.003,1.631,0.887
2/20/2020,balas,0.064,1,0.003,0.784,0.994
8/15/2019,balas,0.011,0.897,,1.207,1.453
8/15/2019,balas,0.009,0.899,,1.211,1.47
8/22/2019,balas,0.015,0.807,,1.567,1.29
8/22/2019,balas,0.012,0.805,,1.623,1.429
7/4/2019,cacao,0.052,0.214,0.064,1.676,0.281
8/8/2019,cacao,0.07,0.511,0.053,2.144,0.493
11/28/2019,cacao,0.172,0.246,0.048,2.842,0.45
7/4/2019,cacao,0.045,0.183,0.045,2.549,0.578
7/11/2019,cacao,0.079,0.218,0.045,1.305,0.224
8/8/2019,cacao,0.068,0.485,0.043,1.35,0.354
9/12/2019,cacao,0.106,0.326,0.043,2.028,0.393
11/28/2019,cacao,0.077,0.414,0.043,3.034,0.45
1/16/2020,cacao,0.132,0.322,0.039,3.27,0.535
1/16/2020,cacao,0.101,0.285,0.039,2.664,0.504
11/14/2019,cacao,0.026,0.362,0.035,1.493,0.475
2/20/2020,cacao,0.072,0.228,0.034,1.684,0.386
7/25/2019,cacao,0.052,0.232,0.033,1.716,0.318
12/19/2019,cacao,0.072,0.345,0.033,2.572,0.441
1/30/2020,cacao,0.042,0.263,0.033,1.805,0.369
4/25/2019,cacao,0.064,0.096,0.03,4.88,0.224
12/12/2019,cacao,0.131,0.242,0.03,1.297,0.367
4/4/2019,cacao,0.067,0.382,0.029,3.908,0.464
11/21/2019,cacao,0.023,0.38,0.029,2.527,0.463
1/30/2020,cacao,0.102,0.293,0.029,1.407,0.402
2/13/2020,cacao,0.067,0.172,0.029,2.752,0.569
6/6/2019,cacao,0.048,0.111,0.028,2.592,0.452
6/6/2019,cacao,0.05,0.106,0.028,3.237,0.367
