site,date,time,staff_stage
balas,12/6/18,830,62
balas,12/13/18,830,60
balas,12/17/18,830,60
balas,1/3/19,830,52
balas,1/17/19,830,50
balas,1/24/19,830,50
balas,1/31/19,830,48
balas,2/7/19,830,50
balas,2/14/19,830,46
balas,2/21/19,830,46
balas,2/28/19,830,56
balas,3/21/19,830,42
balas,3/28/19,830,42
balas,4/4/19,830,42
balas,4/11/19,830,41
balas,4/25/19,830,40
balas,5/2/19,830,40
balas,5/9/19,830,38
balas,5/16/19,830,38
balas,5/23/19,830,38
balas,5/30/19,830,40
balas,6/6/19,830,38
balas,6/20/19,926,38
balas,6/28/19,801,36
balas,7/4/19,837,36
balas,7/11/19,803,36
balas,7/25/19,818,46
balas,8/2/19,828,43
balas,8/8/19,940,43
balas,8/15/19,832,43
balas,8/22/19,847,44
balas,8/29/19,839,43
balas,9/5/19,907,41
balas,9/12/19,1121,48
balas,9/19/19,856,72
balas,9/27/19,947,66
balas,10/3/19,1302,68
balas,10/10/19,832,72
balas,10/15/19,1127,72
balas,10/24/19,834,71
balas,10/31/19,1244,68
balas,11/7/19,817,67
balas,11/14/19,832,66
balas,11/21/19,900,65
balas,11/28/19,1050,64
balas,12/5/19,0853,62
balas,12/12/19,1247,66
balas,12/19/19,0827,58
balas,12/26/19,0850,56
balas,1/2/20,0917,54
balas,1/16/20,0844,49
balas,1/23/20,0906,50
balas,1/30/20,0856,48
balas,2/6/20,0821,46
balas,2/13/20,0858,45
balas,2/20/20,0903,42
balas,3/3/20,1206,50
balas,3/12/20,0842,41
raices,6/28/18,800,55
raices,7/5/18,800,70
raices,8/2/18,800,50
raices,8/8/18,800,50
raices,8/16/18,800,70
raices,8/23/18,800,45
raices,8/30/18,800,50
raices,9/6/18,800,60
raices,9/13/18,800,70
raices,9/20/18,800,60
raices,9/28/18,800,50
raices,10/11/18,800,50
raices,10/18/18,800,60
raices,10/25/18,800,58
raices,11/1/18,800,55
raices,11/8/18,800,55
raices,11/15/18,800,50
raices,11/22/18,800,50
raices,12/6/18,800,50
raices,12/13/18,800,45
